Term,Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
Fall,AA237,A,4,MW, 1:00pm- 2:15pm,Introduction to the Francophone World: Africa (See FR238),,I , ,0, , ,Niang      
Fall,AA247,A,4,TR, 2:30pm- 3:45pm,"African-American History, from Slavery to Freedom (See HI247)",H,U , ,0, , ,Weisbrot   
Fall,AA252,A,4,TR, 9:30am-10:45am,"Race, Ethnicity, and Society (See SO252)",,U , ,0, , ,Gilkes     
Fall,AA255,A,4,MW,11:00am-12:15pm,Introduction to African Politics (See GO255),S,I , ,0, , ,Seay       
Fall,AA297,A,4,TR, 1:00pm- 2:15pm,Introduction to African History to 1880 (See HI297B),H,I , ,0, , ,Duff       
Fall,AA333,A,4,W, 1:00pm- 3:30pm,Contemporary Theory (See AY333),, , ,0, , ,Bhimull    
Fall,AA344,A,4,M, 1:00pm- 3:30pm,Black Radical Imaginations (See AY344),, , ,0, , ,Bhimull    
Fall,AA352,A,4,MWF,12:00n -12:50pm,Hang and Rattle: The West in the American Imaginary (See EN352),L,U , ,0, , ,Bryant     
Fall,AA355,A,4,T, 7:00pm- 9:30pm,African-American Women and Social Change (See SO355),,U , ,0, , ,Gilkes     
Fall,AA357,A,4,T, 7:00pm- 9:30pm,"Civil Rights, Black Power, and Social Change (See SO357)",S,U , ,0, , ,Gilkes     
Fall,AM171,A,4,MW, 2:30pm- 3:45pm,Introduction to American Studies,,U ,MILL 008,24,24,0,Lisle      
Fall,AM229,A,4,MW,11:00am-12:15pm,"Art, Community, and Ethical Urban Development",, ,ALCM 205,13,10,0,Lisle      
Fall,AM258,A,4,WF, 2:30pm- 3:45pm,American Art 1650-1900 (See AR158),A, , ,0, , ,Sperling   
Fall,AM285,A,4,TR, 9:30am-10:45am,History of Photography (See AR285),A, , ,0, , ,Saltz      
Fall,AM297,A,4,TR, 2:30pm- 3:45pm,Introduction to Asian American Studies,,U ,MILL 241,10,15,5,Fugikawa   
Fall,AM344,A,4,M, 1:00pm- 3:30pm,Black Radical Imaginations (See AY344),, , ,0, , ,Bhimull    
Fall,AM393,A,4,TR, 1:00pm- 2:15pm,Junior Seminar: Theories of Culture,,U ,MILL 253,13,15,0,Saltz      
Fall,AN158,A,3 to 4,TR, 9:30am-10:45am,Greek History,H, ,LOVE 208,26,30,7,Welser     
Fall,AN297,A,4,TR, 1:00pm- 2:15pm,Life in the Ancient City,H, ,LOVE 211,20,30,11,Welser     
Fall,AR101W,A,4,TR, 1:00pm- 2:15pm,Reading Images,W1, ,BIXL 154,15,16, ,Ameri      
Fall,AR111,A,4,TR,11:00am-12:15pm,Introduction to Western Art: Prehistory through the Middle Ages,A, ,BIXL 154,26,25,0,Plesch     
Fall,AR113D,A,3,,TBA,Dijon through its Art and Architecture,A, , ,19, , ,Weiss      
Fall,AR131,A,4,MW, 2:00pm- 3:50pm,Introduction to Studio Art,A, ,BIXL 283,17,16,0,Mitchell   
Fall,AR146S,A,4,,TBA,Cine Esp Hispanoamericano,A, , ,22, , ,Instructor 
Fall,AR158,A,4,WF, 2:30pm- 3:45pm,"American Art, 1650-1900",A, ,BIXL 154,23,25,15,Sperling   
Fall,AR174,A,4,MWF, 9:00am- 9:50am,"East Asian Art and Architecture, 1300 to the Present",A, ,BIXL 154,24,25,4,Weitz      
Fall,AR215,A,4,TR, 2:30pm- 3:45pm,Art and Archaeology of the Ancient Near East and Egypt,A, ,BIXL 154,14,25,5,Ameri      
Fall,AR216,A,4,WF, 1:00pm- 2:15pm,"Facing America: Race and Representation, 1492 to the Present",A,U ,BIXL 154,20,25,0,Sperling   
Fall,AR221,A,4,TR, 9:00am-10:50am,Drawing I,A, ,BIXL 225,13,15,0,"Engman, B  "
Fall,AR228,A,4,MW,11:00am-12:50pm,Print and Digital Media I,, ,BIXL 302,13,15,0,Lilleston  
Fall,AR241,A,4,TR, 2:00pm- 3:50pm,Painting I,, ,BIXL 250,16,16,0,"Engman, B  "
